CHR GENE Pval Pval_0.00 Pval_0.01 Pval_0.04 Pval_0.09 Pval_0.025 Pval_0.50 Pval_1.00
chr21 RBM11 0.755396841630674 0.786470495650921 0.78725925668168 0.789158786795234 0.790882530923871 0.785249095546049 0.735834317112284 0.584517302201685
chr21 USP25 0.00010482624336472 9.80326552333808e-05 9.89334974928535e-05 0.000101747099489472 0.000106826393006808 0.000126850035474444 0.000173227854857963 0.000359543231977484
chr21 CXADR 0.104311563088693 NA NA NA NA NA NA NA
chr21 C21orf91 1 1 1 1 1 1 1 0.918357634248844
chr21 CHODL 0.558090033457316 0.493357984892324 0.493138950911798 0.492411220283689 0.490966422134915 0.484532250892992 0.470289229641858 0.438296313371392
chr21 TMPRSS15 0.555270070415694 0.388230211904811 0.389040750194005 0.391388943838473 0.394956790115769 0.402594423233929 0.404627294481592 0.401527721572938
chr21 MRPL39 0.586062574841405 0.772151791409387 0.769306026731278 0.759910417708347 0.741703499399836 0.666074414036498 0.532864189520299 0.394317647168213
chr21 APP 0.752648992383846 0.563981978795354 0.569324261797435 0.584714027714534 0.608049742964704 0.669534109675959 0.773528922438908 0.901642902914724
chr21 CYYR1 0.342502912620905 0.352513977102132 0.351111147560868 0.346942239806335 0.34012980285157 0.319547174409765 0.291472805153863 0.251374596279473
chr21 ADAMTS5 0.589360638768 0.602145239446984 0.601019209934317 0.597316241855592 0.590106091812856 0.559706320168216 0.501760475212762 0.415411599559389
chr21 USP16 0.78498164384697 0.763321224735083 0.766480444423169 0.774648774195823 0.784072049575229 0.786759700560762 0.733750402551734 0.595543345951441
chr21 MAP3K7CL 0.120432369357841 0.305620029610128 0.296995326734601 0.272398880187435 0.235675696932529 0.153036237269079 0.0984715566272391 0.0729297347039665
chr21 GRIK1 0.894348277977366 0.807357829856806 0.810626376635715 0.819805182164918 0.833802536829792 0.88487960379547 1 0.734980283180501
chr21 KRTAP24-1 0.672368576456016 0.573240062523831 0.573474679841499 0.57412811356728 0.57504738893378 0.576544272942799 0.574585274372378 0.558246674825084
chr21 KRTAP27-1 0.0274730866564146 0.0216201026536376 0.0214995454202108 0.0211681611683561 0.0207142777645095 0.0200201266340596 0.0207809914883002 0.026189121957957
chr21 KRTAP13-1 0.844461349212411 0.881045559906865 0.882648785114388 0.887402752280721 0.895290026987455 0.921931508797031 0.933893925274659 0.727062449348907
chr21 KRTAP6-2 0.764170140799548 0.639610640791207 0.641829741885555 0.648472676218851 0.659476476120325 0.693683424487394 0.741532353392343 0.796333942615709
chr21 KRTAP6-1 1 1 1 1 1 1 1 0.853341794118654
chr21 KRTAP20-2 0.556525515800829 0.65808593449362 0.656583624990996 0.651829218956728 0.643042090964545 0.607641379634146 0.538304744562455 0.428389204384075
chr21 KRTAP21-2 0.873955319557595 0.759199593766408 0.761180395583847 0.767032831110003 0.776627541299669 0.808718278384527 0.863779201440659 0.77031783354582
chr21 URB1 0.57269681311239 0.387849230727367 0.391382726167752 0.401761259991415 0.417703692120327 0.452876766347937 0.484358095689211 0.523659354488125
chr21 C21orf59-TCP10L 0.71876163428349 0.523417779443152 0.526286287145317 0.534263290048685 0.545171985914063 0.561162403819154 0.559726878241974 0.538270051328871
chr21 TCP10L 1 1 1 1 1 1 1 0.862850844813612
chr21 C21orf59 0.440188098191514 0.2902324835731 0.294250994780363 0.306607611860591 0.32801250324858 0.399897935772562 0.519304713703468 0.823153885780385
chr21 SYNJ1 0.0978888878329938 0.0633873997455998 0.0645557100977544 0.0682845712589378 0.075286649384581 0.105001289075023 0.17509893725398 0.398515951511764
chr21 OLIG1 0.275543942629738 0.575661391591786 0.566357276789944 0.539873931536141 0.49988727063418 0.398127088295895 0.292817827540867 0.190119841867648
chr21 IL10RB 0.0505110979102521 0.182266454998723 0.172945404046473 0.148161220012742 0.116115667001985 0.0639584313134023 0.0405456211527741 0.0304640286572055
chr21 IFNAR1 0.175003839889457 0.21397820967474 0.211343953057628 0.203552757558292 0.191040352451697 0.157244009406858 0.127083314600959 0.112208761755436
chr21 IFNGR2 0.69579709443869 1 1 1 1 1 0.96677757520282 0.499788638903935
chr21 DNAJC28 0.183323982931901 0.110588058161259 0.113233453803553 0.121768174755116 0.13794766414497 0.203145783040159 0.330409487933529 0.670751773546719
chr21 SON 0.0253034032817798 0.0605184976071373 0.0585716926777576 0.0532095936139028 0.0456904722156575 0.0303447586468012 0.0207056183344316 0.0167264800068091
chr21 DONSON 0.36878638140611 0.483580500577153 0.47955802602426 0.46765917172801 0.448414587527009 0.392230318314045 0.323074524649233 0.247965867952084
chr21 KCNE2 0.448940283114282 0.571046531106789 0.568364217056814 0.560079072240885 0.545490478731085 0.493789045772615 0.414392961043585 0.322950301813003
chr21 RCAN1 1 1 1 1 1 1 1 0.925760841133299
chr21 CLIC6 0.712619985535536 1 1 1 1 0.951675832795117 0.749994976376929 0.500007191819165
chr21 SETD4 0.182135543669484 0.574352110427677 0.559060003902209 0.514055456024652 0.442784054818247 0.267809236022263 0.155803249279819 0.107988426853703
chr21 CBR1 0.449763711700767 0.332679383601803 0.333830193798744 0.33724112615334 0.342773036696382 0.359066689556253 0.381203762814369 0.421899844539707
chr21 CBR3 0.481305913454547 0.670148558149081 0.666795609249545 0.656446897180608 0.638178464702535 0.571770221238825 0.465473282224951 0.345501160467811
chr21 DOPEY2 0.465410632609568 1 1 1 0.931259683783102 0.661954921810876 0.431581098683064 0.288683012474489
chr21 HLCS 0.672718590647677 0.678546041918088 0.678141702371001 0.676643648879301 0.673224855477949 0.655297082416252 0.611826965147988 0.519441204797701
chr21 PIGP 0.216488445850941 0.37595821640199 0.369421730325854 0.350059302489611 0.318818637052988 0.235053932475494 0.167144707585274 0.132847040595251
chr21 TTC3 0.11583678279893 0.0794474675348495 0.0811068788300771 0.0863643646933487 0.0961217255011234 0.137183864867287 0.240663221581281 0.77046157375699
chr21 ETS2 0.199436516329013 0.311339253213052 0.305103047674703 0.287946198855742 0.263803184420687 0.212293196006593 0.172604835299695 0.142698304290933
chr21 WRB-SH3BGR 0.647848772004527 0.676906260081081 0.675594419809656 0.671648544138688 0.665043126455324 0.643777680871843 0.610742256420069 0.548745799497855
chr21 SH3BGR 0.603030609815672 0.752651762862541 0.748786051277025 0.737389394639556 0.719013209357986 0.664628486282864 0.590803280215355 0.478839842449043
chr21 IGSF5 0.831674793279752 0.73640530018059 0.738163720814668 0.743238577752263 0.750982230093907 0.768940929073366 0.774281821792228 0.723327204280995
chr21 PLAC4 0.489263657963938 0.344627663906176 0.344973577406894 0.345992233222582 0.347603674577609 0.351677492185107 0.354533428875124 0.356523335558705
chr21 MX2 1 0.777366998051435 0.782645223634483 0.797963075122342 0.822187230080107 0.905139742814718 1 0.893221712815789
chr21 MX1 0.460588045480683 0.291217348695794 0.295986032152351 0.310773091955976 0.336351993122299 0.414824915342982 0.52167042142958 0.698497234229542
chr21 TMPRSS2 0.140686298772267 0.137510810253805 0.13523390584649 0.128772197931427 0.119226606510584 0.0982625922314902 0.0856725071054209 0.0861118586457939
chr21 RIPK4 1 1 1 1 1 1 1 0.775847150705494
chr21 PRDM15 0.122045536630523 0.0709430159046767 0.0729436758126096 0.0796333043653581 0.0930244161928853 0.148587727652522 0.250190317847426 0.481734633934672
