Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
ENSG00000172748	pLoF	1e-04	0.805996729350545	0.805996729350545	0.805996729350545	-0.00497922322042828	0.0202742262757827	4	0	4
ENSG00000172748	pLoF	0.001	0.758749515155899	0.758749515155899	0.758749515155899	0.00442499598489449	0.0144078805795797	8	0	5
ENSG00000172748	pLoF	0.01	0.758749515155899	0.758749515155899	0.758749515155899	0.00442499598489449	0.0144078805795797	8	0	5
ENSG00000172748	synonymous	1e-04	0.297041614856427	0.297041614856427	0.297041614856427	0.0128638274123089	0.0123358703621776	11	0	11
ENSG00000172748	synonymous	0.001	0.220461196907253	0.220461196907253	0.220461196907253	-0.00857480411058075	0.00699811092496429	38	0	18
ENSG00000172748	synonymous	0.01	0.43774341086781	0.327573773663157	0.336383223947086	-0.00582736990294143	0.00595229330206664	53	1	18
ENSG00000172748	pLoF;damaging_missense	1e-04	0.805996729350545	0.805996729350545	0.805996729350545	-0.00497922322042828	0.0202742262757827	4	0	4
ENSG00000172748	pLoF;damaging_missense	0.001	0.758749515155899	0.758749515155899	0.758749515155899	0.00442499598489449	0.0144078805795797	8	0	5
ENSG00000172748	pLoF;damaging_missense	0.01	0.758749515155899	0.758749515155899	0.758749515155899	0.00442499598489449	0.0144078805795797	8	0	5
ENSG00000172748	damaging_missense;pLoF;synonymous	1e-04	0.442889025121948	0.442889025121948	0.442889025121948	0.00817401985953749	0.0106526344256018	15	0	15
ENSG00000172748	damaging_missense;pLoF;synonymous	0.001	0.323961534306293	0.323961534306293	0.323961534306293	-0.00637475981006891	0.00646298138309715	46	0	23
ENSG00000172748	damaging_missense;pLoF;synonymous	0.01	0.545874471375711	0.421089420234106	0.445660049771973	-0.00451410709680909	0.00561084387353732	61	1	23
ENSG00000172748	Cauchy	NA	0.609363506664316	0.590122425406172	0.592995853554657	NA	NA	NA	NA	NA
ENSG00000147364	damaging_missense	1e-04	0.650063436078303	0.650063436078303	0.650063436078303	0.0128908243268265	0.0284142853014751	2	0	2
ENSG00000147364	damaging_missense	0.001	0.650063436078303	0.650063436078303	0.650063436078303	0.0128908243268265	0.0284142853014751	2	0	2
ENSG00000147364	damaging_missense	0.01	0.650063436078303	0.650063436078303	0.650063436078303	0.0128908243268265	0.0284142853014751	2	0	2
